original_title,portuguese_title,release_date,duration_minutes,age_rating,theme,director,country,actors,languages
Saving Private Ryan,O Resgate do Soldado Ryan,1998,169,16 anos,Ação,Steven Spielberg,Estados Unidos,Tom Hanks,Inglês
Catch Me If You Can,Prenda-me Se For Capaz,2002,141,12 anos,Comédia,Steven Spielberg,Estados Unidos,Tom Hanks|Leonardo DiCaprio,Inglês
The Terminal,O Terminal,2004,128,12 anos,Comédia,Steven Spielberg,Estados Unidos,Tom Hanks,Inglês
Bridge of Spies,Ponte dos Espiões,2015,142,12 anos,Drama,Steven Spielberg,Estados Unidos,Tom Hanks,Inglês
The Post,The Post: A Guerra Secreta,2017,116,12 anos,Drama,Steven Spielberg,Estados Unidos,Tom Hanks,Inglês
Amistad,Amistad,1997,155,14 anos,Drama,Steven Spielberg,Estados Unidos,Morgan Freeman,Inglês
Batman Begins,Batman Begins,2005,140,10 anos,Ação,Christopher Nolan,Reino Unido,Christian Bale,Inglês
The Dark Knight,Batman: O Cavaleiro das Trevas,2008,152,12 anos,Ação,Christopher Nolan,Reino Unido,Christian Bale,Inglês
The Dark Knight Rises,Batman: O Cavaleiro das Trevas Ressurge,2012,165,12 anos,Ação,Christopher Nolan,Reino Unido,Christian Bale,Inglês
The Prestige,O Grande Truque,2006,130,14 anos,Suspense,Christopher Nolan,Reino Unido,Christian Bale|Hugh Jackman|Scarlett Johansson,Inglês
Pulp Fiction,Pulp Fiction: Tempo de Violência,1994,154,18 anos,Suspense,Quentin Tarantino,Estados Unidos,Samuel L. Jackson,Inglês
Django Unchained,Django Livre,2012,165,16 anos,Ação,Quentin Tarantino,Estados Unidos,Leonardo DiCaprio|Samuel L. Jackson,Inglês
Inglourious Basterds,Bastardos Inglórios,2009,153,18 anos,Ação,Quentin Tarantino,Estados Unidos,Brad Pitt,Inglês
Once Upon a Time in Hollywood,Era uma Vez em... Hollywood,2019,161,16 anos,Comédia,Quentin Tarantino,Estados Unidos,Leonardo DiCaprio|Brad Pitt,Inglês
The Hateful Eight,Os Oito Odiados,2015,168,18 anos,Suspense,Quentin Tarantino,Estados Unidos,Samuel L. Jackson,Inglês

